Trades,Wins,Losses,WinRate,ProfitFactor,Expectancy,Period,Sharpe,FinalReturn,MaxDrawdown,ATR_MULTIPLIER,SL_ATR,TP_ATR,BREAK_MARGIN
9,3,6,0.3333333333333333,0.5840081145684322,-56.745901071982225,2023-01-02 → 2023-07-02,-1.2108922777155384,-0.05107131096478423,0.09880159649465625,1.2,2.0,2.5,0.001
1,0,1,0.0,0.0,-206.12543438999407,2023-07-02 → 2024-01-02,-1.4286967786479094,-0.02061254343899943,0.02061254343899943,1.5,1.5,3.0,0.0006
10,6,4,0.6,2.062971138789806,91.78176212694734,2024-01-02 → 2024-07-02,1.5446170981742071,0.091781762126947,0.041184909471781106,1.2,2.0,3.0,0.001
