20250202 183700;0.915400;0.915680;0.915350;0.915670;0
20250202 183800;0.915670;0.915870;0.915580;0.915870;0
20250202 183900;0.915870;0.915870;0.915750;0.915790;0
20250202 184000;0.915820;0.915950;0.915660;0.915660;0
20250202 184100;0.915650;0.915650;0.915170;0.915320;0
20250202 184200;0.915310;0.915480;0.915290;0.915450;0
20250202 184300;0.915430;0.915540;0.915410;0.915500;0
20250202 184400;0.915510;0.915600;0.915380;0.915400;0
20250202 184500;0.915370;0.915450;0.915190;0.915270;0
20250202 184600;0.915260;0.915270;0.914740;0.914740;0
20250202 184700;0.914710;0.914980;0.914490;0.914980;0
20250202 184800;0.914970;0.915330;0.914970;0.915200;0
20250202 184900;0.915210;0.915240;0.915060;0.915200;0
20250202 185000;0.915190;0.915330;0.915110;0.915150;0
20250202 185100;0.915120;0.915130;0.914860;0.914950;0
20250202 185200;0.914960;0.915050;0.914750;0.914820;0
20250202 185300;0.914800;0.914900;0.914740;0.914900;0
20250202 185400;0.914910;0.915200;0.914910;0.915150;0
20250202 185500;0.915130;0.915410;0.915110;0.915380;0
20250202 185600;0.915380;0.915430;0.915250;0.915300;0
20250202 185700;0.915320;0.915360;0.915090;0.915150;0
20250202 185800;0.915150;0.915280;0.915150;0.915210;0
20250202 185900;0.915210;0.915230;0.915090;0.915090;0
20250202 190000;0.915080;0.915590;0.915080;0.915540;0
20250202 190100;0.915540;0.915600;0.915400;0.915570;0
20250202 190200;0.915580;0.915600;0.914960;0.915060;0
20250202 190300;0.915060;0.915300;0.914910;0.915250;0
20250202 190400;0.915200;0.915260;0.914830;0.915040;0
20250202 190500;0.915040;0.915210;0.914690;0.914920;0
20250202 190600;0.914920;0.914920;0.914710;0.914830;0
20250202 190700;0.914830;0.914960;0.914750;0.914850;0
20250202 190800;0.914850;0.914980;0.914820;0.914860;0
20250202 190900;0.914860;0.914960;0.914740;0.914960;0
20250202 191000;0.914960;0.915030;0.914270;0.914400;0
20250202 191100;0.914390;0.914740;0.914390;0.914740;0
20250202 191200;0.914740;0.914980;0.914730;0.914770;0
20250202 191300;0.914750;0.914920;0.914700;0.914900;0
20250202 191400;0.914870;0.915040;0.914760;0.915000;0
20250202 191500;0.915000;0.915280;0.914930;0.915280;0
20250202 191600;0.915280;0.915460;0.915210;0.915450;0
20250202 191700;0.915440;0.915600;0.915410;0.915600;0
20250202 191800;0.915590;0.915740;0.915520;0.915730;0
20250202 191900;0.915730;0.915730;0.915500;0.915620;0
20250202 192000;0.915640;0.915780;0.915600;0.915700;0
20250202 192100;0.915700;0.916160;0.915680;0.916160;0
20250202 192200;0.916160;0.916590;0.915970;0.916570;0
20250202 192300;0.916540;0.916760;0.916280;0.916520;0
20250202 192400;0.916490;0.916620;0.915780;0.916470;0
20250202 192500;0.916480;0.916540;0.915760;0.916080;0
20250202 192600;0.916080;0.916310;0.915900;0.915920;0
20250202 192700;0.915930;0.916140;0.915810;0.916070;0
20250202 192800;0.916060;0.916300;0.916060;0.916250;0
20250202 192900;0.916260;0.916460;0.916000;0.916030;0
20250202 193000;0.916020;0.916050;0.915640;0.915840;0
20250202 193100;0.915820;0.915970;0.915740;0.915870;0
20250202 193200;0.915870;0.915910;0.915420;0.915760;0
20250202 193300;0.915730;0.916080;0.915710;0.916080;0
