datetime,open,high,low,close,volume
2020-01-02,326.10001,329.98001,324.78,329.81,4485800.0
2020-01-03,326.78,329.85999,325.53,325.89999,3806900.0
2020-01-06,323.12,336.35999,321.20001,335.82999,5663100.0
2020-01-07,336.47,336.70001,330.29999,330.75,4703200.0
2020-01-08,331.48999,342.70001,331.049988,339.26001,7104500.0
2020-01-09,342.0,343.42001,334.60999,335.66,4709300.0
2020-01-10,337.13,338.5,327.26999,329.049988,4718300.0
2020-01-13,331.79999,340.85001,331.51001,338.92001,6290000.0
2020-01-14,344.39999,345.38,335.51999,338.69,7199400.0
2020-01-15,338.67999,343.17001,336.60001,339.070007,5158000.0
2020-01-16,343.5,343.56,335.85001,338.62,5016000.0
2020-01-17,341.0,341.57001,337.38,339.67001,6066500.0
2020-01-21,340.0,341.0,332.59,338.10999,14350300.0
2020-01-22,332.54999,336.29999,323.60001,326.0,21730000.0
2020-01-23,326.040009,349.88,325.01001,349.60001,18200300.0
2020-01-24,348.45999,359.85001,345.88,353.16,17939700.0
2020-01-27,345.95001,351.89999,341.019989,342.88,7709500.0
2020-01-28,345.88,352.39999,342.78,348.51999,6821600.0
2020-01-29,349.0,349.39999,338.54999,343.16,7643500.0
2020-01-30,341.10001,348.20001,339.25,347.73999,5328100.0
2020-01-31,347.39001,347.39001,340.98001,345.089996,5230000.0
2020-02-03,347.23999,359.63,346.28,358.0,6670600.0
2020-02-04,361.0,369.57001,356.10001,369.01001,7161500.0
2020-02-05,375.13,375.25,362.29999,369.67001,6437000.0
2020-02-06,369.60001,371.54999,362.51001,366.95001,3920400.0
2020-02-07,365.040009,371.79999,363.57001,366.76999,4385200.0
2020-02-10,365.0,374.79999,362.51999,371.070007,5294100.0
2020-02-11,373.75,378.10999,369.72,373.69,4772900.0
2020-02-12,377.17999,380.62,375.88,380.01001,4624800.0
2020-02-13,376.95999,385.37,376.51001,381.39999,4485400.0
2020-02-14,381.47,385.14999,379.42999,380.39999,3736300.0
2020-02-18,379.29999,389.54001,379.19,387.78,5173900.0
2020-02-19,388.12,392.95001,384.89999,386.19,4896400.0
2020-02-20,386.56,389.70001,376.67999,386.0,4079400.0
2020-02-21,385.32999,387.32001,377.89999,380.070007,3930100.0
2020-02-24,364.76001,372.82001,361.0,368.70001,6936400.0
2020-02-25,372.0,375.64999,357.72,360.089996,6481200.0
2020-02-26,366.31,382.0,365.0,379.23999,8934100.0
2020-02-27,371.45999,391.56,370.60001,371.70999,10967700.0
2020-02-28,364.20999,376.76999,356.79999,369.029999,11168600.0
2020-03-02,373.10999,381.35999,364.5,381.049988,6997900.0
2020-03-03,381.029999,393.51999,367.39999,368.76999,8364600.0
2020-03-04,377.76999,384.01001,370.51001,383.79001,5487300.0
2020-03-05,381.0,391.39999,368.64001,372.78,8747000.0
2020-03-06,367.70001,371.31,356.85001,368.97,8147200.0
2020-03-09,343.85999,357.47,341.72,346.48999,7405500.0
2020-03-10,356.42999,364.54001,347.85001,364.13,7604400.0
2020-03-11,358.92001,362.98001,344.79001,349.92001,6036000.0
2020-03-12,326.5,335.72,307.32001,315.25,12071600.0
2020-03-13,330.51001,336.42001,307.39001,336.29999,9458200.0
2020-03-16,306.63,334.35001,294.75,298.84,10559900.0
2020-03-17,306.19,322.89999,290.25,319.75,10013900.0
2020-03-18,302.39999,331.57999,300.0,315.47,12593600.0
2020-03-19,324.32999,348.51001,316.82001,332.029999,10616000.0
2020-03-20,342.31,350.48999,332.0,332.82999,10853800.0
2020-03-23,347.89001,366.10999,340.88,360.26999,13449400.0
2020-03-24,369.98999,372.92999,353.029999,357.32001,11638700.0
2020-03-25,361.019989,362.0,339.17001,342.39001,8767200.0
2020-03-26,344.0,363.84,341.73001,362.98999,7229600.0
2020-03-27,359.089996,368.56,353.0,357.12,7948800.0
2020-03-30,363.0,377.79999,361.17001,370.95999,8622000.0
2020-03-31,367.92999,383.01001,366.44,375.5,9366500.0
2020-04-01,376.049988,380.23001,361.019989,364.079987,6672500.0
2020-04-02,364.079987,370.98999,360.059998,370.079987,4592500.0
2020-04-03,367.47,370.89999,357.51001,361.76001,4860800.0
2020-04-06,365.22,380.29001,361.70999,379.95999,8183900.0
2020-04-07,380.0,381.32999,369.34,372.28,7046400.0
2020-04-08,374.01001,378.39001,368.31,371.12,6908900.0
2020-04-09,371.059998,372.10001,363.029999,370.72,7711300.0
2020-04-13,371.31,400.51001,367.70001,396.72,11692900.0
2020-04-14,397.5,417.82001,394.85001,413.54999,11581000.0
2020-04-15,413.0,434.98001,412.25,426.75,13561200.0
2020-04-16,437.0,449.51999,431.60999,439.17001,16128700.0
2020-04-17,431.0,432.0,414.70001,422.95999,12616300.0
2020-04-20,435.17001,444.48999,430.56,437.48999,12655800.0
2020-04-21,444.76999,447.0,425.60001,433.82999,23177600.0
2020-04-22,429.73001,433.0,413.0,421.42001,21084800.0
2020-04-23,419.26001,438.41,419.26001,426.70001,13952300.0
2020-04-24,425.0,427.17001,415.88,424.98999,8658900.0
2020-04-27,425.0,429.0,420.84,421.38,6277500.0
2020-04-28,419.98999,421.0,402.91,403.82999,10101200.0
2020-04-29,399.53,415.85999,393.60001,411.89001,9693100.0
2020-04-30,410.31,424.44,408.0,419.85001,7954000.0
2020-05-01,415.10001,427.97,411.73001,415.26999,8299900.0
2020-05-04,417.78,428.54001,414.87,428.14999,7799100.0
2020-05-05,427.56,431.0,421.56,424.67999,6286300.0
2020-05-06,429.29999,439.76999,426.39001,434.26001,6660700.0
2020-05-07,436.89001,438.88,430.66,436.53,5641900.0
2020-05-08,434.14001,442.0,433.64001,435.54999,5049300.0
2020-05-11,436.32999,444.89001,435.56,440.51999,5486000.0
2020-05-12,442.0,444.17001,431.35999,431.82001,4598200.0
2020-05-13,435.69,447.0,427.26999,438.26999,7014600.0
