datetime,open,high,low,close,volume
2020-01-02,214.39999,216.16,213.98,216.16,30969400.0
2020-01-03,213.3,215.47,213.28,214.17999,27518900.0
2020-01-06,212.5,215.59,212.24001,215.56,21655300.0
2020-01-07,215.64,216.14,214.85001,215.53,22139300.0
2020-01-08,215.5,218.14,215.16,217.14999,26397300.0
2020-01-09,218.94,219.41,217.71001,218.99001,23547000.0
2020-01-10,219.85001,219.87,218.039993,218.42999,21898500.0
2020-01-13,219.33,220.98,218.98,220.95,22756900.0
2020-01-14,220.84,221.21001,219.74001,220.080002,24418100.0
2020-01-15,220.2,221.2,219.45,220.17,25742100.0
2020-01-16,221.27,222.32001,220.8,222.28,18805000.0
2020-01-17,223.28,223.56,222.12,223.38,24325200.0
2020-01-21,222.75999,223.84,222.66,223.28,21146300.0
2020-01-22,224.41,225.14999,223.59,223.87,20736400.0
2020-01-23,223.74001,224.69,222.7,224.59,26496100.0
2020-01-24,225.64,225.88,221.67,222.7,37436500.0
2020-01-27,217.67,219.28,217.17999,218.10001,42264400.0
2020-01-28,219.64,221.96001,219.059998,221.45,26731900.0
2020-01-29,222.67999,222.92999,220.83,221.81,28924500.0
2020-01-30,220.38,222.7,219.69,222.60001,39568100.0
2020-01-31,223.53,223.56,218.28999,219.070007,52015800.0
2020-02-03,220.14,222.89,219.99001,222.38,25408600.0
2020-02-04,225.42,227.86,224.64999,227.47,30691200.0
2020-02-05,230.21001,230.25,226.85001,228.22,38534800.0
2020-02-06,228.78999,230.25,227.98,230.19,22467100.0
2020-02-07,229.16,230.44,228.53999,229.2,25884900.0
2020-02-10,228.44,231.98,228.38,231.97,21478900.0
2020-02-11,233.25,234.020004,231.39999,232.0099945,30198000.0
2020-02-12,233.38,234.38,232.8,234.27,24471300.0
2020-02-13,232.64,234.92999,232.36,233.97,22773200.0
2020-02-14,234.34,234.86,233.55,234.64,23438500.0
2020-02-18,233.5,235.17,233.25,234.73,24394500.0
2020-02-19,236.13,237.47,235.85001,236.98,22230500.0
2020-02-20,236.46001,236.95,231.88,234.78,42604000.0
2020-02-21,233.61,234.0099945,229.32001,230.27,66017200.0
2020-02-24,221.67999,224.25,220.25999,221.39,84522600.0
2020-02-25,223.25,223.99001,214.74001,215.37,97743000.0
2020-02-26,216.71001,220.28,214.89999,216.48,79537700.0
2020-02-27,210.89999,216.42,205.5,205.64,121822600.0
2020-02-28,198.64,207.17,198.17,205.8,148173700.0
2020-03-02,208.88,216.57001,205.94,216.42,112933900.0
2020-03-03,217.11,219.61,207.62,209.48,131953500.0
2020-03-04,213.32001,218.33,211.37,218.22,73086200.0
2020-03-05,212.69,216.36,210.10001,211.59,78705500.0
2020-03-06,204.67,209.14999,202.91,208.020004,89828400.0
2020-03-09,193.48,201.16,192.11,193.57001,116424000.0
2020-03-10,201.11,204.3,193.67999,204.11,100599200.0
2020-03-11,199.35001,200.75,192.73,195.22,89168800.0
2020-03-12,182.089996,190.78,176.94,177.32001,137820700.0
2020-03-13,187.070007,194.48,178.13,192.34,134882000.0
2020-03-16,174.14999,184.67999,169.16,169.3,92054400.0
2020-03-17,175.47,184.39,169.78,182.14,121257100.0
2020-03-18,171.61,179.22,166.8,176.60001,114156300.0
