Datetime,Close,Open,High,Low,Volume
2023-07-10 04:00:00,46.11,45.63,46.17,45.455,4303367.0
2023-07-11 04:00:00,47.0,46.34,47.13,46.03,5094131.0
2023-07-12 04:00:00,48.07,48.23,48.56,47.74,6678086.0
2023-07-13 04:00:00,49.18,48.67,49.4561,48.52,4276014.0
2023-07-14 04:00:00,49.06,49.48,49.765,48.82,6052675.0
2023-07-17 04:00:00,49.56,48.98,49.925,48.98,3391611.0
2023-07-18 04:00:00,50.67,49.44,50.89,49.295,4749497.0
2023-07-19 04:00:00,50.96,50.92,51.3899,50.7,5167701.0
2023-07-20 04:00:00,49.93,50.57,50.9,49.675,6093645.0
2023-07-21 04:00:00,49.91,50.51,50.56,49.89,4482172.0
2023-07-24 04:00:00,50.56,50.28,50.82,50.0796,3743399.0
2023-07-25 04:00:00,50.95,50.41,51.37,50.41,3712477.0
2023-07-26 04:00:00,50.93,50.61,51.44,50.23,5685112.0
2023-07-27 04:00:00,49.9,52.07,52.2214,49.58,6969430.0
2023-07-28 04:00:00,51.33,50.97,51.62,50.73,4971735.0
2023-07-31 04:00:00,51.62,51.5,51.7395,51.03,4184360.0
2023-08-01 04:00:00,51.13,51.08,51.4,50.8199,3778470.0
2023-08-02 04:00:00,49.01,50.03,50.13,48.73,7270550.0
2023-08-03 04:00:00,48.53,48.25,49.15,48.04,5788599.0
2023-08-04 04:00:00,47.85,49.1,49.82,47.67,7662112.0
2023-08-07 04:00:00,49.06,48.43,49.1258,48.2,4888384.0
2023-08-08 04:00:00,48.4,48.18,48.57,47.29,6264327.0
2023-08-09 04:00:00,47.43,48.51,48.54,47.18,5819572.0
2023-08-10 04:00:00,47.42,48.17,49.28,47.045,12200071.0
2023-08-11 04:00:00,47.33,46.79,47.66,46.593,6756412.0
2023-08-14 04:00:00,48.06,47.02,48.09,46.91,4629273.0
2023-08-15 04:00:00,46.44,47.46,47.6,46.2101,7037919.0
2023-08-16 04:00:00,45.34,46.25,46.7899,45.33,6477538.0
2023-08-17 04:00:00,44.28,45.76,45.87,44.11,6629121.0
2023-08-18 04:00:00,44.3,43.36,44.64,43.26,6455009.0
2023-08-21 04:00:00,45.18,44.6,45.4,43.94,5271670.0
2023-08-22 04:00:00,44.79,45.72,45.73,44.605,5216351.0
2023-08-23 04:00:00,46.22,45.11,46.46,45.0681,6318357.0
2023-08-24 04:00:00,44.31,46.749,46.9,44.28,7541659.0
2023-08-25 04:00:00,45.22,44.81,45.62,43.7,9793668.0
2023-08-28 04:00:00,46.05,45.89,46.25,45.475,4963878.0
2023-08-29 04:00:00,48.02,46.01,48.12,45.96,6497621.0
2023-08-30 04:00:00,48.63,48.17,48.83,47.88,4695308.0
2023-08-31 04:00:00,48.33,48.78,49.145,48.28,4142149.0
2023-09-01 04:00:00,48.57,49.26,49.39,48.12,4580022.0
2023-09-05 04:00:00,47.96,48.46,48.525,47.92,3253747.0
2023-09-06 04:00:00,46.96,47.64,47.6842,46.18,5785680.0
