Datetime,Close,Open,High,Low,Volume
2023-07-10 04:00:00,366.36,365.96,367.05,363.41,48384050.0
2023-07-11 04:00:00,368.17,366.79,368.632,364.62,37897346.0
2023-07-12 04:00:00,372.82,372.34,374.19,370.3,61677696.0
2023-07-13 04:00:00,379.15,376.05,379.99,375.46,46925087.0
2023-07-14 04:00:00,379.07,379.585,382.86,378.18,54909500.0
2023-07-17 04:00:00,382.61,379.8,383.5,379.31,40598915.0
2023-07-18 04:00:00,385.74,381.96,387.13,380.0,55271538.0
2023-07-19 04:00:00,385.65,386.82,387.98,384.3,53887408.0
2023-07-20 04:00:00,376.76,382.61,384.095,375.72,71920374.0
2023-07-21 04:00:00,375.63,379.18,379.92,375.191,60494143.0
2023-07-24 04:00:00,376.23,376.62,377.58,374.34,40348556.0
2023-07-25 04:00:00,378.78,376.95,380.47,376.93,38894384.0
2023-07-26 04:00:00,377.52,377.72,379.24,375.18,46745210.0
2023-07-27 04:00:00,376.62,383.07,384.71,375.31,63825525.0
2023-07-28 04:00:00,383.48,380.74,384.52,380.22,56900126.0
2023-07-31 04:00:00,383.68,383.79,384.88,382.34,43998405.0
2023-08-01 04:00:00,382.79,382.31,383.56,380.69,41246957.0
2023-08-02 04:00:00,374.39,379.26,379.26,373.13,72627107.0
2023-08-03 04:00:00,373.79,371.94,375.95,371.77,47808781.0
2023-08-04 04:00:00,372.04,375.75,378.1,371.53,61668279.0
2023-08-07 04:00:00,375.19,373.88,375.29,371.51,37192444.0
2023-08-08 04:00:00,372.0,372.64,372.66,368.82,44713253.0
2023-08-09 04:00:00,367.91,372.29,372.45,367.14,50916400.0
2023-08-10 04:00:00,368.59,370.97,374.36,367.035,71993015.0
2023-08-11 04:00:00,366.24,365.99,368.0,364.69,48680337.0
2023-08-14 04:00:00,370.35,365.43,370.47,364.7,41853302.0
2023-08-15 04:00:00,366.42,369.36,370.169,365.74,45441891.0
2023-08-16 04:00:00,362.54,365.87,367.43,362.44,52780225.0
2023-08-17 04:00:00,358.58,363.96,364.31,358.16,62555988.0
2023-08-18 04:00:00,358.13,355.26,359.41,354.71,59998052.0
2023-08-21 04:00:00,363.9,359.62,364.59,359.15,50495518.0
2023-08-22 04:00:00,363.38,366.55,366.56,362.68,44501809.0
2023-08-23 04:00:00,369.11,364.58,370.22,364.36,51344103.0
2023-08-24 04:00:00,361.22,372.64,372.74,361.01,66733671.0
2023-08-25 04:00:00,364.02,362.07,365.74,358.58,69556465.0
2023-08-28 04:00:00,366.76,366.99,367.71,364.25,40850019.0
2023-08-29 04:00:00,374.77,366.56,375.13,366.231,58452371.0
2023-08-30 04:00:00,376.86,374.88,377.4467,373.86,41539911.0
2023-08-31 04:00:00,377.99,376.94,379.719,376.87,35678701.0
2023-09-01 04:00:00,377.59,380.4,380.83,376.0801,39801177.0
2023-09-05 04:00:00,378.07,376.77,379.3093,375.83,32337222.0
2023-09-06 04:00:00,374.74,377.28,377.63,372.7,42992735.0
2023-09-07 04:00:00,372.06,370.21,372.85,369.15,51761716.0
2023-09-08 04:00:00,372.58,372.01,374.85,371.6,35704359.0
2023-09-11 04:00:00,376.97,375.66,377.49,373.66,39643634.0
2023-09-12 04:00:00,372.79,375.27,376.9517,372.5,41391024.0
2023-09-13 04:00:00,374.21,373.03,375.84,371.88,45915677.0
2023-09-14 04:00:00,377.27,375.99,378.27,373.89,48039388.0
2023-09-15 04:00:00,370.81,375.91,376.32,369.86,69675706.0
2023-09-18 04:00:00,370.66,369.32,371.79,369.03,36663545.0
2023-09-19 04:00:00,369.87,369.32,370.6826,366.8,37619934.0
2023-09-20 04:00:00,364.54,370.95,371.31,364.46,45511189.0
2023-09-21 04:00:00,357.86,360.8,361.6,357.69,69701845.0
2023-09-22 04:00:00,357.91,359.63,361.8,357.59,51589689.0
2023-09-25 04:00:00,359.61,356.93,359.7,355.93,39015985.0
2023-09-26 04:00:00,354.21,356.99,357.54,353.2101,53625248.0
2023-09-27 04:00:00,355.04,355.38,356.98,351.36,56025222.0
2023-09-28 04:00:00,358.01,354.11,360.17,353.24,56450312.0
2023-09-29 04:00:00,358.27,361.54,362.95,357.02,64825316.0
2023-10-02 04:00:00,361.26,358.54,362.68,357.92,51582654.0
2023-10-03 04:00:00,354.92,358.78,361.01,353.275,60473989.0
2023-10-04 04:00:00,359.75,355.77,360.61,355.3,54610736.0
2023-10-05 04:00:00,358.69,359.74,360.15,355.14,45867390.0
2023-10-06 04:00:00,364.7,355.65,365.91,354.85,75007119.0
2023-10-09 04:00:00,366.56,362.3,367.11,360.78,45286766.0
2023-10-10 04:00:00,368.59,366.9,371.28,366.39,46894096.0
2023-10-11 04:00:00,371.22,369.94,371.412,368.19,38198288.0
2023-10-12 04:00:00,369.93,371.73,373.74,367.5,49587942.0
2023-10-13 04:00:00,365.28,370.57,371.16,363.86,52183876.0
2023-10-16 04:00:00,369.41,366.62,370.48,366.47,44190359.0
2023-10-17 04:00:00,368.2,365.81,369.92,363.66,50986602.0
2023-10-18 04:00:00,363.37,365.67,367.91,362.02,54280490.0
2023-10-19 04:00:00,359.97,364.81,366.02,359.16,71642938.0
2023-10-20 04:00:00,354.6,359.46,360.04,354.37,72449723.0
2023-10-23 04:00:00,355.67,353.26,359.26,351.1199,59900585.0
2023-10-24 04:00:00,359.13,357.51,359.91,355.79,46972078.0
2023-10-25 04:00:00,350.34,356.7,356.88,349.75,71171536.0
2023-10-26 04:00:00,343.66,349.12,350.07,342.35,78606475.0
2023-10-27 04:00:00,345.31,346.43,348.84,344.08,63156907.0
2023-10-30 04:00:00,349.2,347.83,350.54,346.45,55281472.0
2023-10-31 04:00:00,350.87,349.23,351.25,346.62,47671906.0
2023-11-01 04:00:00,356.96,351.72,357.5298,351.62,58963666.0
2023-11-02 04:00:00,363.44,361.54,363.68,360.3,58162442.0
2023-11-03 04:00:00,367.71,364.75,369.02,364.52,53274557.0
2023-11-06 05:00:00,369.21,368.49,369.78,366.91,38789443.0
2023-11-07 05:00:00,372.7,370.27,373.58,369.045,50737398.0
2023-11-08 05:00:00,372.94,373.08,373.79,370.62,35618773.0
2023-11-09 05:00:00,370.07,373.64,374.8,369.57,53841421.0
2023-11-10 05:00:00,378.39,371.82,378.54,371.28,58325539.0
2023-11-13 05:00:00,377.21,376.79,378.28,375.24,40627005.0
2023-11-14 05:00:00,385.33,383.71,386.26,383.18,67792634.0
