20250501 013600;0.828100;0.828160;0.828000;0.828020;0
20250501 013700;0.828110;0.828120;0.828000;0.828010;0
20250501 013800;0.828020;0.828200;0.828000;0.828200;0
20250501 013900;0.828190;0.828250;0.828150;0.828160;0
20250501 014000;0.828150;0.828150;0.827990;0.828020;0
20250501 014100;0.828020;0.828170;0.828020;0.828110;0
20250501 014200;0.828090;0.828110;0.827940;0.827970;0
20250501 014300;0.827970;0.827970;0.827890;0.827890;0
20250501 014400;0.827880;0.827970;0.827750;0.827970;0
20250501 014500;0.827970;0.828080;0.827960;0.828060;0
20250501 014600;0.828050;0.828190;0.828000;0.828190;0
20250501 014700;0.828200;0.828200;0.828090;0.828090;0
20250501 014800;0.828080;0.828150;0.828040;0.828110;0
20250501 014900;0.828120;0.828140;0.828020;0.828020;0
20250501 015000;0.828030;0.828060;0.828000;0.828050;0
20250501 015100;0.828030;0.828200;0.827960;0.828190;0
20250501 015200;0.828180;0.828250;0.828050;0.828080;0
20250501 015300;0.828090;0.828090;0.827910;0.827910;0
20250501 015400;0.827980;0.828040;0.827930;0.827930;0
20250501 015500;0.827920;0.827920;0.827740;0.827810;0
20250501 015600;0.827800;0.827800;0.827740;0.827770;0
20250501 015700;0.827780;0.827810;0.827680;0.827760;0
20250501 015800;0.827760;0.827920;0.827690;0.827790;0
20250501 015900;0.827800;0.827950;0.827750;0.827950;0
20250501 020000;0.828000;0.828130;0.827730;0.827900;0
20250501 020100;0.827910;0.828010;0.827910;0.827920;0
20250501 020200;0.827950;0.827960;0.827800;0.827810;0
20250501 020300;0.827840;0.827840;0.827680;0.827730;0
20250501 020400;0.827720;0.827750;0.827630;0.827680;0
20250501 020500;0.827700;0.827830;0.827470;0.827500;0
20250501 020600;0.827470;0.827540;0.827450;0.827540;0
20250501 020700;0.827550;0.827700;0.827550;0.827680;0
20250501 020800;0.827670;0.827750;0.827580;0.827580;0
20250501 020900;0.827590;0.827600;0.827330;0.827480;0
20250501 021000;0.827460;0.827850;0.827440;0.827760;0
20250501 021100;0.827780;0.827890;0.827780;0.827870;0
20250501 021200;0.827870;0.828060;0.827870;0.828030;0
20250501 021300;0.828020;0.828050;0.827620;0.827640;0
20250501 021400;0.827620;0.827620;0.827430;0.827470;0
20250501 021500;0.827470;0.827640;0.827450;0.827640;0
20250501 021600;0.827640;0.827810;0.827540;0.827560;0
20250501 021700;0.827550;0.827630;0.827510;0.827550;0
20250501 021800;0.827550;0.827570;0.827470;0.827560;0
20250501 021900;0.827560;0.827590;0.827520;0.827580;0
20250501 022000;0.827600;0.827790;0.827540;0.827790;0
20250501 022100;0.827790;0.827820;0.827620;0.827650;0
20250501 022200;0.827670;0.827880;0.827670;0.827720;0
20250501 022300;0.827700;0.827830;0.827620;0.827810;0
20250501 022400;0.827800;0.827820;0.827690;0.827710;0
20250501 022500;0.827700;0.827840;0.827680;0.827820;0
20250501 022600;0.827810;0.827920;0.827690;0.827690;0
20250501 022700;0.827710;0.827710;0.827470;0.827600;0
20250501 022800;0.827580;0.827580;0.827520;0.827560;0
20250501 022900;0.827570;0.827700;0.827360;0.827430;0
20250501 023000;0.827420;0.827650;0.827420;0.827640;0
20250501 023100;0.827630;0.827700;0.827600;0.827600;0
